text,category
i spent 96.26 on tutoring session this morning,Education
spent $114.17 on eye exam,Healthcare
I spent $499.32 on Tuition payment,Education
purchased hbo max for $72.29,Subscription
i spent 354.22 on microsoft 365,Subscription
I spent 463.12 on Jewelry purchase,Shopping
had to pay $271.90 for Gas bill on 02/21,Utilities
HOA fees cost $18.53,Housing
spent 356.17 on physical therapy last month,Healthcare
Arcade games Jasonborough,Entertainment
youtube premium lutzbury,Subscription
gas bill txn-63493351,Utilities
Paid $211.45 for Concert tickets this morning,Entertainment
uber trip $421.04 on 03/18,Transport
had to pay $282.19 for comedy show,Entertainment
bought movie theater for $191.42,Entertainment
Bought Health insurance premium for $131.88,Healthcare
whole foods txn-79399449,Food
Clothing store TXN-33199009,Shopping
concert tickets txn-29084807,Entertainment
I paid $275.56 at Kitchen supplies,Shopping
Google One storage 02/12,Subscription
Spent 279.31 on HOA fees,Housing
I paid $190.97 at Donation,Other
Spent $208.84 on Gas bill on Monday,Utilities
Therapy session 03/29,Healthcare
purchased Cell phone bill for $341.46 last month,Utilities
charged $275.35 to youtube premium,Subscription
therapy session,Healthcare
cell phone bill elizabethmouth,Utilities
costco groceries txn-28914570,Food
purchased Eye exam for $59.65 nvfqiW,Healthcare
Tutoring session cost me 282.30,Education
Trash collection TXN-45772245,Utilities
i paid $14.19 at microsoft 365,Subscription
i paid $240.92 at walmart groceries,Food
Mortgage TXN-52410437,Housing
I spent $360.64 on Property tax this morning,Housing
Amazon Prime TXN-14557873,Subscription
Paid $423.77 for Pizza delivery,Food
Paid 87.72 for Electronics store,Shopping
Bought Gas station for $41.57,Transport
Paid 460.37 for Lab tests today,Healthcare
Bought Adobe Creative Cloud for $131.52 on 03/11,Subscription
Lunch at work,Food
Paid $373.81 for McDonalds,Food
I spent $250.27 on Electronics store this week,Shopping
Charged $30.72 to Lab tests,Healthcare
Paid $38.14 for Whole Foods,Food
had to pay $41.85 for Language learning app,Education
Bought Subway pass for $499.52,Transport
Spent 471.45 on Gift,Other
Zoo visit 03/31,Entertainment
$261.86 for Car repair,Transport
purchased Spotify premium for $130.36,Subscription
gift tonifort,Other
spent $431.73 on property tax bzvtuJ,Housing
had to pay $38.92 for electric bill,Utilities
Charged $372.50 to Home insurance,Housing
Online course $360.90,Education
spent 272.91 on electric bill last week,Utilities
Pharmacy prescription 01/19,Healthcare
Paid $430.18 for Book purchase,Other
Car repair 04/19,Transport
Pet food TXN-46116598,Other
I spent $277.60 on YouTube Premium,Subscription
electronics store cost me 225.88,Shopping
had to pay $409.55 for Phone bill AT&T,Utilities
Dental checkup TXN-79958950,Healthcare
Bought Lyft ride for $377.10,Transport
Spent $137.95 on Home decor,Shopping
Pharmacy prescription TXN-92053380,Healthcare
Spent $360.23 on Phone bill AT&T,Utilities
charged $86.05 to heating bill last month,Utilities
Apartment rent Brandonchester,Housing
Theme park cost $268.86 last month,Entertainment
Bus ticket cost me 16.72,Transport
Gift,Other
paid 386.23 for lab tests,Healthcare
Costco groceries,Food
i spent $72.29 on subway pass,Transport
I spent $497.08 on Electronics store,Shopping
Charged $221.01 to Museum tickets on Monday,Entertainment
Target groceries,Food
udemy course west angela,Education
McDonalds TXN-58419748,Food
Water bill cost $54.22,Utilities
Charged $87.75 to Gas bill,Utilities
Spent 409.51 on Rent payment SvepHo,Housing
I paid $225.07 at Amazon purchase last month,Shopping
Haircut,Other
Spent 97.81 on Cell phone bill,Utilities
Bought Shoes purchase for $340.81,Shopping
Physical therapy,Healthcare
had to pay $269.18 for Escape room,Entertainment
hbo max,Subscription
Spent $152.37 on Tutoring session,Education
Coursera subscription,Education
lab tests west cynthiabury,Healthcare
Comedy show Andersonville,Entertainment
water bill,Utilities
Language learning app TXN-32874341,Education
Paid $483.22 for Spotify premium this week,Subscription
i bought car insurance $249.98 this morning,Transport
i spent $247.55 on pizza delivery,Food
I paid $465.92 at Lunch at work,Food
Cell phone bill Lake Monica,Utilities
Taxi 03/31,Transport
had to pay $415.62 for parking ticket,Transport
language learning app east nathan,Education
Whole Foods,Food
Urgent care visit TXN-58035382,Healthcare
bowling,Entertainment
Electronics store Port Stephanie,Shopping
i spent 168.59 on microsoft 365,Subscription
Spent 168.06 on Internet service yesterday,Utilities
amazon purchase 02/06,Shopping
Paid $137.63 for Car insurance this morning,Transport
I spent 387.45 on Physical therapy,Healthcare
Spent 472.04 on Apartment rent,Housing
Apartment rent TXN-08168207,Housing
Dining at Olive Garden 01/05,Food
Bowling North Jennifer,Entertainment
Gas bill pDhZES,Utilities
donation cost me 282.45,Other
Theme park North Becky,Entertainment
HOA fees cost $334.15 today nVEatC,Housing
Hulu subscription TXN-06124083,Subscription
purchased Pet food for $382.80,Other
Movie theater Port Paul,Entertainment
amazon purchase txn-95826974 YNvuDZ,Shopping
I bought Workshop fee $485.84,Education
Charged $385.95 to Heating bill,Utilities
Bought Coursera subscription for $23.13 on Monday,Education
had to pay $319.07 for Jewelry purchase,Shopping
Language learning app,Education
Spent $104.48 on Online shopping order,Shopping
$289.87 for Pharmacy this morning,Other
Dining at Olive Garden,Food
Dry cleaning cost me 320.65,Other
Paid $314.65 for Rent payment today,Housing
dental checkup txn-53674425,Healthcare
zoo visit edwardstad,Entertainment
youtube premium 02/05 xyxIlO,Subscription
cell phone bill $418.57,Utilities
Bought Lyft ride for $288.26 last month,Transport
I bought Costco groceries $426.05,Food
Adobe Creative Cloud,Subscription
Paid 133.30 for Language learning app,Education
Spent 492.19 on Haircut this morning,Other
I bought Coursera subscription $421.61,Education
had to pay $20.53 for Mortgage on Monday,Housing
Phone bill AT&T,Utilities
coursera subscription,Education
Paid 107.96 for Maintenance,Housing
Mortgage cost $235.30,Housing
lyft ride 01/04,Transport
bought coffee shop for $499.92,Food
bought concert tickets for $145.00,Entertainment
Coffee shop Lake Joshuaton,Food
spent 217.55 on property tax,Housing
Furniture store Ralphside,Shopping
Dining at Olive Garden cost me 280.21,Food
Tuition payment,Education
I spent 414.71 on Costco groceries,Food
lab tests 04/02,Healthcare
Paid 435.46 for Eye exam today,Healthcare
internet service,Utilities
I spent $342.78 on Online shopping order,Shopping
karaoke night $324.95,Entertainment
Spent $307.38 on Rent payment,Housing
i bought amazon prime $191.30,Subscription
had to pay $12.87 for Lab tests,Healthcare
$344.00 for Karaoke night,Entertainment
I paid $236.34 at Shoes purchase today,Shopping
Gym membership Christinaburgh,Subscription
Costco groceries TXN-42911463,Food
Adobe Creative Cloud,Subscription
Rent payment 03/30,Housing
Spent $473.44 on Spotify premium this week,Subscription
$281.03 for Karaoke night last month YVJBzt,Entertainment
purchased Textbook purchase for $472.51,Education
Spent $64.58 on Pharmacy,Other
I paid $493.67 at Furniture store,Shopping
purchased Pet food for $10.40,Other
Lab tests,Healthcare
Paid 431.36 for Water bill,Utilities
Jewelry purchase TXN-08209627,Shopping
purchased Udemy course for $376.60,Education
i spent 79.43 on taxi,Transport
paid 488.85 for physical therapy,Healthcare
Paid $314.23 for Bus ticket,Transport
Google One storage cost $76.44,Subscription
oil change txn-66234999,Transport
spent $57.61 on icloud storage,Subscription
tuition payment cost $13.52 on monday,Education
Jewelry purchase TXN-34826799,Shopping
Paid $115.80 for Museum tickets,Entertainment
Paid $261.55 for Physical therapy,Healthcare
$186.20 for Water bill,Utilities
movie theater port christina,Entertainment
Language learning app 04/06,Education
Shoes purchase,Shopping
i paid $235.65 at audible membership,Subscription
karaoke night 04/04,Entertainment
bought kitchen supplies for $358.98,Shopping
Home decor $368.62,Shopping
workshop fee txn-42193159,Education
Charged $406.10 to Apartment rent on Monday,Housing
physical therapy,Healthcare
Physical therapy 03/14,Healthcare
had to pay $263.26 for Online course this week,Education
I spent $237.16 on Dental checkup,Healthcare
walmart groceries txn-41956199,Food
spent $255.02 on heating bill,Utilities
Movie theater TXN-59825333,Entertainment
$495.63 for Health insurance premium,Healthcare
$405.65 for Pet food,Other
Cell phone bill,Utilities
Movie theater Zacharychester,Entertainment
Amazon purchase Andrewport,Shopping
car repair $146.77,Transport
Paid $112.24 for Bowling,Entertainment
Bought Dry cleaning for $105.81,Other
paid 92.36 for hbo max,Subscription
spent $326.35 on mcdonalds,Food
online shopping order lake aliciaburgh,Shopping
gas bill williamsside,Utilities
Charged $222.18 to Museum tickets,Entertainment
i bought physical therapy $203.89,Healthcare
clothing store txn-26441832,Shopping
Bought House payment for $448.23,Housing
had to pay $63.89 for Adobe Creative Cloud on 03/23,Subscription
I paid $450.44 at Tuition payment,Education
phone bill at&t cost me 421.90 last week,Utilities
$98.39 for Restaurant dinner,Food
Spent $271.55 on Disney+ subscription,Subscription
HOA fees Blakemouth,Housing
starbucks txn-82433970,Food
Disney+ subscription South Sharonhaven,Subscription
pet food cost $496.12,Other
Apartment rent,Housing
Maintenance TXN-39675880,Housing
trash collection englishberg,Utilities
I paid $206.02 at Internet service,Utilities
bowling,Entertainment
purchased comedy show for $305.87 this week,Entertainment
Hulu subscription 03/22,Subscription
donation txn-68959470,Other
netflix subscription cost me 135.65,Subscription
hulu subscription txn-16542600,Subscription
Charged $393.71 to Textbook purchase on 03/22,Education
Workshop fee East Jane,Education
charged $361.57 to pizza delivery,Food
Spotify premium 01/14,Subscription
Coursera subscription 03/21,Education
purchased museum tickets for $86.94,Entertainment
House payment TXN-39560643,Housing
Amazon purchase cost me 161.70 this week,Shopping
I paid $122.08 at Rent payment,Housing
Spent $10.81 on Adobe Creative Cloud,Subscription
comedy show crawfordmouth,Entertainment
Department store Heidiville,Shopping
Haircut cost $74.92,Other
Spent 425.21 on Pizza delivery,Food
paid $389.00 for vitamins and supplements,Healthcare
Bought Parking ticket for $213.64,Transport
Bus ticket cost $67.47,Transport
House payment,Housing
Spent 48.90 on Pharmacy prescription yesterday,Healthcare
Rent payment,Housing
I bought Oil change $369.31,Transport
$212.19 for Gift last month,Other
amazon purchase,Shopping
HBO Max cost me 119.05,Subscription
purchased Oil change for $206.10 this week,Transport
I bought Water bill $89.87,Utilities
I bought Walmart groceries $215.52,Food
I paid $142.72 at Pet food,Other
$62.90 for Gas bill on 01/14,Utilities
Tutoring session South Tracymouth,Education
purchased Car repair for $396.68,Transport
Amazon purchase Harrisfurt,Shopping
Book purchase Charlesbury,Other
Spent $203.31 on Tuition payment,Education
Comedy show,Entertainment
Apple Music Nicoleville,Subscription
spent $235.17 on trash collection,Utilities
Dental checkup TXN-38360381,Healthcare
Spent 90.36 on Audible membership,Subscription
Apartment rent cost me 455.34,Housing
Costco groceries,Food
bought trash collection for $117.11,Utilities
I bought Clothing store $216.69 today,Shopping
Tuition payment Port Jennifer,Education
Paid 411.51 for Theme park this morning,Entertainment
amazon prime,Subscription
Dental checkup Rebeccaview,Healthcare
physical therapy cost $43.83 today,Healthcare
spent 200.98 on dining at olive garden this morning,Food
I paid $470.25 at Microsoft 365 yesterday,Subscription
Clothing store West Ashleyside,Shopping
urgent care visit cost $219.48,Healthcare
bought dental checkup for $351.69,Healthcare
Therapy session,Healthcare
Property tax,Housing
$346.75 for Home decor,Shopping
paid $241.72 for gas bill yesterday,Utilities
Spent $108.21 on Home insurance,Housing
department store $351.25,Shopping
Paid $73.54 for Textbook purchase last week,Education
Spent $57.71 on Gift,Other
i bought doctor visit $155.39,Healthcare
Spent 259.76 on Lunch at work,Food
Bought Physical therapy for $8.72,Healthcare
Amazon Prime $153.16 on 02/19,Subscription
Movie theater Hurleyton,Entertainment
Apartment rent TXN-24208369,Housing
spent $470.46 on dining at olive garden on 03/15,Food
